epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2515.17,0.95046,1.67807,0.96378,1.12801,0.57443,0.65561,0.66302,0.42221,0.54827,0.62326,0.62981,0.33506,1.21858,2.19696,1.40192,1.30669,0.000476562,0.000476562,0.000476562
127,2534.54,0.90434,1.70512,0.88506,1.12511,0.636,0.6264,0.62807,0.41153,0.5991,0.586,0.57752,0.29877,1.21955,2.31271,1.35609,1.31662,0.000470375,0.000470375,0.000470375
128,2553.58,0.87638,1.53665,0.90821,1.13367,0.69853,0.58522,0.68671,0.44712,0.74028,0.64685,0.71103,0.32355,1.20907,2.19729,1.21084,1.2525,0.000464188,0.000464188,0.000464188
129,2573.37,0.88802,1.52163,0.8517,1.11889,0.5203,0.75929,0.70579,0.44209,0.60926,0.7149,0.71855,0.37004,1.22315,2.04306,1.28886,1.28273,0.000458,0.000458,0.000458
130,2592.55,0.89761,1.56649,0.85452,1.13201,0.54755,0.74402,0.67633,0.44199,0.66245,0.67301,0.7499,0.37359,1.21936,2.08655,1.42309,1.30347,0.000451813,0.000451813,0.000451813
131,2611.44,0.86769,1.52755,0.85941,1.10394,0.7718,0.55761,0.70988,0.46326,0.64955,0.68064,0.74128,0.34463,1.2199,2.06665,1.32362,1.29475,0.000445625,0.000445625,0.000445625
132,2631.27,0.84491,1.47917,0.81156,1.09012,0.56159,0.73701,0.68339,0.4673,0.59128,0.80867,0.7254,0.33881,1.20574,2.10148,1.28759,1.29162,0.000439437,0.000439437,0.000439437
133,2650.75,0.87643,1.50673,0.80079,1.09415,0.72931,0.57301,0.67821,0.44976,0.58157,0.70601,0.73131,0.34347,1.18011,2.23444,1.25402,1.2807,0.00043325,0.00043325,0.00043325
134,2669.59,0.8741,1.53062,0.81264,1.11593,0.55964,0.73965,0.67976,0.43899,0.57071,0.79769,0.70014,0.34883,1.15518,2.24085,1.33611,1.26556,0.000427062,0.000427062,0.000427062
135,2689.32,0.82029,1.41202,0.80946,1.08113,0.59033,0.63332,0.67378,0.40117,0.55392,0.79705,0.68567,0.3044,1.18356,2.21062,1.44721,1.27674,0.000420875,0.000420875,0.000420875
136,2708.87,0.85264,1.48152,0.84658,1.11627,0.56686,0.56489,0.55136,0.35902,0.50559,0.6773,0.54946,0.2786,1.18734,2.27454,1.45729,1.29062,0.000414688,0.000414688,0.000414688
137,2728.56,0.84486,1.42556,0.79286,1.08252,0.63216,0.6436,0.68775,0.42695,0.61101,0.62662,0.67122,0.32077,1.16142,2.33576,1.39273,1.29162,0.0004085,0.0004085,0.0004085
138,2747.84,0.85558,1.49471,0.79693,1.10102,0.71701,0.6749,0.70248,0.43378,0.57003,0.79713,0.59129,0.31612,1.14216,2.29701,1.30351,1.2659,0.000402312,0.000402312,0.000402312
139,2766.92,0.80788,1.4462,0.77153,1.06928,0.51442,0.73654,0.5583,0.37404,0.51054,0.81179,0.58309,0.28882,1.16467,2.28965,1.35128,1.24652,0.000396125,0.000396125,0.000396125
140,2786.72,0.815,1.56603,0.78271,1.08249,0.60636,0.57176,0.66424,0.41206,0.51167,0.80469,0.57117,0.31236,1.15541,2.25531,1.52082,1.24118,0.000389938,0.000389938,0.000389938
141,2806.83,0.86759,1.39538,0.79901,1.09914,0.52771,0.71454,0.60956,0.38513,0.51832,0.70354,0.54512,0.31047,1.14191,2.18763,1.52164,1.24173,0.00038375,0.00038375,0.00038375
142,2827.75,0.86105,1.46578,0.863,1.07899,0.57814,0.71619,0.66114,0.45524,0.53078,0.81312,0.62477,0.35565,1.13267,2.15664,1.63291,1.24689,0.000377563,0.000377563,0.000377563
143,2846.96,0.8547,1.59452,0.83945,1.08675,0.61522,0.69053,0.67121,0.41883,0.64042,0.75621,0.71035,0.34775,1.15004,2.26925,1.47831,1.27463,0.000371375,0.000371375,0.000371375
144,2866.16,0.80943,1.42482,0.82363,1.07553,0.53547,0.73534,0.67874,0.45304,0.55615,0.81366,0.7118,0.36579,1.11272,2.10849,1.30577,1.23344,0.000365188,0.000365188,0.000365188
145,2885.55,0.81668,1.50047,0.79175,1.07349,0.5484,0.704,0.68265,0.45079,0.5605,0.77724,0.72273,0.36465,1.10159,2.0884,1.29747,1.2315,0.000359,0.000359,0.000359
146,2905.1,0.82839,1.43697,0.80617,1.08457,0.53815,0.71401,0.68024,0.43223,0.54925,0.79181,0.71676,0.35229,1.13511,2.08959,1.24584,1.25737,0.000352812,0.000352812,0.000352812
147,2924.25,0.78475,1.42935,0.79094,1.05213,0.55806,0.70884,0.68985,0.43188,0.57786,0.78208,0.73194,0.34931,1.15905,2.08936,1.19394,1.27885,0.000346625,0.000346625,0.000346625
148,2943.61,0.89388,1.47004,0.84284,1.13407,0.53129,0.71083,0.62713,0.41979,0.57919,0.73539,0.62373,0.31113,1.1702,2.10597,1.19753,1.27518,0.000340438,0.000340438,0.000340438
149,2962.8,0.82461,1.47892,0.80192,1.1004,0.64879,0.63525,0.64249,0.41343,0.68703,0.70993,0.66924,0.32392,1.15838,2.13574,1.1727,1.25515,0.00033425,0.00033425,0.00033425
150,2982.18,0.85375,1.42794,0.83017,1.06479,0.541,0.6327,0.61915,0.41165,0.59315,0.57759,0.6255,0.31969,1.14761,2.18742,1.31081,1.27007,0.000328063,0.000328063,0.000328063
151,3001.26,0.83175,1.40072,0.78309,1.10273,0.49648,0.69123,0.55611,0.38924,0.50297,0.58507,0.55029,0.29952,1.15946,2.1735,1.3015,1.26492,0.000321875,0.000321875,0.000321875
152,3020.48,0.75166,1.32984,0.6997,1.05171,0.51897,0.6786,0.55685,0.39471,0.60875,0.55533,0.55657,0.30088,1.18001,2.15413,1.18201,1.26724,0.000315687,0.000315687,0.000315687
153,3040.16,0.77173,1.33863,0.76012,1.03332,0.61872,0.67341,0.60947,0.41906,0.61138,0.66331,0.59467,0.3095,1.18733,2.32915,1.2273,1.28,0.0003095,0.0003095,0.0003095
154,3059.28,0.81156,1.40861,0.73685,1.07437,0.65254,0.67868,0.62428,0.44173,0.64489,0.66858,0.65244,0.32567,1.13977,2.25541,1.23044,1.2425,0.000303313,0.000303313,0.000303313
155,3078.04,0.80802,1.37817,0.72587,1.07628,0.71166,0.59175,0.6321,0.44645,0.70469,0.59677,0.6349,0.33817,1.10642,2.21669,1.12077,1.22493,0.000297125,0.000297125,0.000297125
156,3097.32,0.77554,1.39943,0.73666,1.06197,0.74945,0.55421,0.64551,0.44702,0.75047,0.55478,0.65229,0.34554,1.1091,2.17861,1.0491,1.21579,0.000290937,0.000290937,0.000290937
157,3116.34,0.78934,1.37469,0.7588,1.08256,0.73899,0.58039,0.7215,0.47062,0.75165,0.55619,0.70362,0.36967,1.10756,2.14447,1.02764,1.19679,0.00028475,0.00028475,0.00028475
158,3136.02,0.77681,1.32831,0.71257,1.04205,0.58527,0.73434,0.72736,0.47009,0.58307,0.73323,0.71169,0.36707,1.11094,2.19993,1.08276,1.21689,0.000278562,0.000278562,0.000278562
159,3155.7,0.79001,1.33603,0.75665,1.07315,0.55947,0.8343,0.72994,0.46829,0.55501,0.82675,0.7133,0.37992,1.11801,2.18603,1.08649,1.21599,0.000272375,0.000272375,0.000272375
160,3175,0.77248,1.35151,0.76971,1.03723,0.59765,0.74665,0.69101,0.43263,0.57908,0.72644,0.67236,0.35707,1.11747,2.11317,1.07439,1.20526,0.000266187,0.000266187,0.000266187
161,3194.45,0.79822,1.42215,0.73889,1.051,0.61952,0.84525,0.70322,0.44812,0.60695,0.8326,0.68624,0.37373,1.10119,2.04384,1.08867,1.20394,0.00026,0.00026,0.00026
162,3213.61,0.80203,1.31748,0.75325,1.10298,0.6389,0.82023,0.68289,0.44355,0.6262,0.80759,0.66425,0.36812,1.09151,2.0111,1.1251,1.18603,0.000253812,0.000253812,0.000253812
163,3233.01,0.78012,1.3163,0.72767,1.01919,0.58726,0.72183,0.62872,0.45057,0.58948,0.79739,0.63981,0.36569,1.09818,2.07972,1.20665,1.20694,0.000247625,0.000247625,0.000247625
164,3252.26,0.75521,1.23415,0.74726,1.05368,0.57599,0.75173,0.6252,0.44126,0.59281,0.80869,0.64658,0.34997,1.10064,2.01798,1.24874,1.21303,0.000241438,0.000241438,0.000241438
165,3271.35,0.79709,1.39719,0.73046,1.07945,0.64488,0.74033,0.66857,0.44514,0.63185,0.80729,0.6515,0.3531,1.12672,2.08949,1.26131,1.23921,0.00023525,0.00023525,0.00023525
166,3290.47,0.77755,1.3966,0.76642,1.06805,0.58252,0.75428,0.64219,0.45346,0.60979,0.83515,0.67565,0.35436,1.12251,2.04527,1.14174,1.2282,0.000229063,0.000229063,0.000229063
167,3309.66,0.77377,1.46503,0.72041,1.05652,0.55265,0.74628,0.71453,0.49794,0.58349,0.82693,0.74914,0.40163,1.10207,2.04935,1.09502,1.23577,0.000222875,0.000222875,0.000222875
168,3329.09,0.76582,1.4022,0.69595,1.03362,0.55102,0.77853,0.71909,0.50938,0.57068,0.8541,0.7992,0.40117,1.08066,2.05576,1.06453,1.21273,0.000216688,0.000216688,0.000216688
169,3348.58,0.79423,1.2984,0.73837,1.04089,0.56854,0.77637,0.63893,0.45052,0.59994,0.85053,0.76443,0.38352,1.08739,2.07518,1.09872,1.22067,0.0002105,0.0002105,0.0002105
170,3368.34,0.74175,1.32956,0.71612,1.03075,0.60214,0.74838,0.71262,0.49719,0.63404,0.82366,0.7978,0.39638,1.08633,2.04248,1.12213,1.21264,0.000204313,0.000204313,0.000204313
171,3387.57,0.77661,1.3181,0.75217,1.06512,0.59024,0.68868,0.63498,0.43594,0.63828,0.76446,0.74102,0.37508,1.09753,2.04644,1.08854,1.21068,0.000198125,0.000198125,0.000198125
172,3406.96,0.7503,1.37565,0.68758,1.04755,0.54113,0.76692,0.59617,0.4153,0.58881,0.75173,0.71669,0.36054,1.11258,2.13668,1.14852,1.2373,0.000191938,0.000191938,0.000191938
173,3426.34,0.79233,1.28767,0.72634,1.05183,0.58474,0.66324,0.62041,0.43611,0.68897,0.68049,0.72022,0.37327,1.09713,2.14322,1.11334,1.21692,0.00018575,0.00018575,0.00018575
174,3446.07,0.75124,1.28792,0.6747,1.0287,0.63559,0.62302,0.70897,0.48914,0.68533,0.6896,0.78499,0.38617,1.09016,2.19974,1.10632,1.22268,0.000179563,0.000179563,0.000179563
175,3465.18,0.75152,1.41875,0.7271,1.0373,0.70542,0.58572,0.71053,0.50947,0.78452,0.66784,0.77088,0.36493,1.08453,2.16351,1.09557,1.22854,0.000173375,0.000173375,0.000173375
176,3484.34,0.78314,1.3622,0.73582,1.0521,0.59856,0.64235,0.69561,0.50055,0.70309,0.67046,0.77856,0.35576,1.09113,2.19814,1.14188,1.23498,0.000167188,0.000167188,0.000167188
177,3503.97,0.79352,1.39992,0.72592,1.0707,0.60353,0.65815,0.61737,0.45047,0.70914,0.66777,0.71274,0.34361,1.08334,2.14917,1.08699,1.20775,0.000161,0.000161,0.000161
178,3523.13,0.72835,1.35091,0.71393,1.05179,0.6029,0.65646,0.70092,0.4942,0.64818,0.6882,0.7466,0.38274,1.08459,2.12072,1.14057,1.20783,0.000154812,0.000154812,0.000154812
179,3542.29,0.75029,1.37786,0.71203,1.05026,0.58704,0.61278,0.63268,0.45401,0.61842,0.68311,0.70185,0.35104,1.09811,2.0882,1.19454,1.21208,0.000148625,0.000148625,0.000148625
180,3562.34,0.735,1.36083,0.71449,1.05861,0.59594,0.62704,0.64199,0.4462,0.66449,0.67062,0.68616,0.3651,1.08168,2.03487,1.15066,1.19437,0.000142437,0.000142437,0.000142437
181,3581.86,0.7469,1.29967,0.67736,1.04063,0.57873,0.63569,0.64331,0.4647,0.57515,0.72382,0.67607,0.37512,1.05865,2.0307,1.17906,1.19271,0.00013625,0.00013625,0.00013625
182,3601.55,0.72449,1.31037,0.71083,1.01817,0.5616,0.65822,0.64771,0.45868,0.582,0.73146,0.68026,0.36851,1.05541,2.04912,1.13068,1.19208,0.000130062,0.000130062,0.000130062
183,3621,0.75117,1.30116,0.72802,1.05504,0.70174,0.68707,0.69677,0.42856,0.55863,0.7171,0.62157,0.3408,1.06725,2.0291,1.14407,1.19846,0.000123875,0.000123875,0.000123875
184,3640.43,0.72523,1.26135,0.65172,1.02021,0.51486,0.86413,0.66818,0.46192,0.51509,0.86166,0.66175,0.35174,1.05371,2.07187,1.15925,1.20749,0.000117687,0.000117687,0.000117687
185,3660.54,0.72484,1.31368,0.66408,1.03398,0.548,0.85216,0.67802,0.46298,0.5408,0.84206,0.665,0.37038,1.04235,2.06367,1.1527,1.19472,0.0001115,0.0001115,0.0001115
186,3679.95,0.75916,1.26861,0.6909,1.05986,0.73157,0.58968,0.65498,0.45732,0.58443,0.7886,0.65527,0.3593,1.05764,2.03941,1.12669,1.1961,0.000105312,0.000105312,0.000105312
187,3699.4,0.66314,1.24362,0.64738,1.00256,0.60596,0.70959,0.67649,0.45345,0.59654,0.69949,0.62438,0.35605,1.0608,2.06554,1.17131,1.20145,9.9125e-05,9.9125e-05,9.9125e-05
188,3720.92,0.78341,1.33079,0.77804,1.06475,0.6772,0.72014,0.70516,0.42881,0.62936,0.61796,0.64835,0.34523,1.07227,2.09643,1.16184,1.20707,9.29375e-05,9.29375e-05,9.29375e-05
189,3740.4,0.72611,1.29858,0.67566,1.06433,0.59374,0.59405,0.63939,0.42913,0.63193,0.66624,0.61935,0.34686,1.06652,2.09215,1.21989,1.20663,8.675e-05,8.675e-05,8.675e-05
190,3760.13,0.73793,1.28241,0.73145,1.04294,0.5427,0.85683,0.70522,0.46021,0.53939,0.84332,0.62147,0.35331,1.05848,2.11136,1.14036,1.18765,8.05625e-05,8.05625e-05,8.05625e-05
191,3800.38,0.62342,1.13042,0.5659,0.96762,0.50338,0.78381,0.60591,0.42541,0.51887,0.8545,0.62102,0.34256,1.05448,2.14378,1.08015,1.19228,7.4375e-05,7.4375e-05,7.4375e-05
192,3819.46,0.63261,1.09896,0.58147,0.97734,0.48994,0.7771,0.67763,0.45655,0.50251,0.85034,0.65932,0.36646,1.0882,2.18279,1.17795,1.24055,6.81875e-05,6.81875e-05,6.81875e-05
193,3838.76,0.60277,1.05284,0.57514,0.94844,0.51307,0.76581,0.62901,0.43288,0.57412,0.70895,0.6224,0.34918,1.07285,2.17578,1.1363,1.22321,6.2e-05,6.2e-05,6.2e-05
194,3858.48,0.61072,1.07477,0.55524,0.97837,0.51598,0.7696,0.64554,0.44815,0.53836,0.83092,0.63416,0.35766,1.05953,2.13618,1.08243,1.21832,5.58125e-05,5.58125e-05,5.58125e-05
195,3877.65,0.61228,1.09122,0.58115,0.95486,0.49818,0.78207,0.64345,0.43274,0.51043,0.8553,0.6326,0.35377,1.07176,2.14104,1.09785,1.21579,4.9625e-05,4.9625e-05,4.9625e-05
196,3897.52,0.63815,1.09651,0.56863,0.98408,0.48479,0.77201,0.62337,0.40856,0.49984,0.84779,0.60077,0.33295,1.09805,2.2053,1.13886,1.24933,4.34375e-05,4.34375e-05,4.34375e-05
197,3917.29,0.6225,1.08521,0.56107,0.98602,0.61063,0.7128,0.7079,0.46052,0.59422,0.69761,0.63143,0.36399,1.05725,2.1314,1.07629,1.20466,3.725e-05,3.725e-05,3.725e-05
198,3936.14,0.61102,1.06868,0.54166,0.96753,0.50494,0.7662,0.64307,0.43011,0.52647,0.84453,0.63376,0.35306,1.09849,2.18309,1.11876,1.25036,3.10625e-05,3.10625e-05,3.10625e-05
199,3953.81,0.59693,1.06249,0.53879,0.9589,0.56416,0.82002,0.72603,0.4316,0.55878,0.81246,0.64611,0.34975,1.09762,2.21424,1.12164,1.24646,2.4875e-05,2.4875e-05,2.4875e-05
200,3970.98,0.60861,1.04123,0.53744,0.97737,0.53974,0.72306,0.60656,0.42393,0.56248,0.79845,0.65019,0.3574,1.07729,2.17151,1.11157,1.2218,1.86875e-05,1.86875e-05,1.86875e-05
