epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,609.17,1.44081,2.61705,1.78705,1.48045,0.57901,0.38499,0.35664,0.1898,0.54898,0.37505,0.30504,0.13839,1.57782,2.85785,2.26766,1.60746,0.00107056,0.00107056,0.00107056
31,629.715,1.45296,2.3723,1.72931,1.51291,0.25725,0.37868,0.29476,0.16539,0.23496,0.31589,0.24896,0.11462,1.55281,2.9235,2.44503,1.57799,0.00106437,0.00106437,0.00106437
32,649.996,1.42843,2.48454,1.66244,1.47881,0.25314,0.61162,0.34826,0.19528,0.19784,0.47619,0.27082,0.12464,1.53216,2.88045,2.97246,1.57765,0.00105819,0.00105819,0.00105819
33,669.685,1.41867,2.54574,1.79159,1.48477,0.6095,0.45312,0.49614,0.26797,0.44666,0.3546,0.37688,0.16646,1.47187,2.73426,2.02724,1.56983,0.001052,0.001052,0.001052
34,689.438,1.41154,2.51911,1.73061,1.47349,0.61285,0.50316,0.48709,0.284,0.44548,0.37942,0.37099,0.18446,1.48495,2.68041,2.23916,1.52965,0.00104581,0.00104581,0.00104581
35,709.301,1.32071,2.44512,1.65741,1.44163,0.4485,0.62021,0.4735,0.24976,0.31691,0.51159,0.32467,0.13354,1.47375,2.63162,2.63809,1.50055,0.00103962,0.00103962,0.00103962
36,729.871,1.39018,2.47827,1.66189,1.46596,0.61403,0.4598,0.52871,0.32461,0.49041,0.35332,0.41104,0.162,1.36319,2.67985,2.11358,1.45256,0.00103344,0.00103344,0.00103344
37,750.632,1.29455,2.4618,1.69267,1.41209,0.89809,0.26266,0.54097,0.33445,0.36311,0.31907,0.34174,0.16494,1.39381,2.6884,1.95055,1.458,0.00102725,0.00102725,0.00102725
38,771.067,1.30082,2.40193,1.65642,1.42608,0.40814,0.54026,0.54266,0.31545,0.40333,0.52898,0.44211,0.18211,1.40939,2.55106,2.22713,1.45385,0.00102106,0.00102106,0.00102106
39,791.603,1.33188,2.34807,1.60032,1.41868,0.43886,0.47536,0.45742,0.24767,0.30704,0.41815,0.37165,0.18948,1.48987,2.48997,2.31671,1.47943,0.00101488,0.00101488,0.00101488
40,812.292,1.38506,2.35807,1.61111,1.45018,0.7049,0.35731,0.40093,0.23468,0.68425,0.35028,0.33605,0.16966,1.37383,2.50636,1.76957,1.36242,0.00100869,0.00100869,0.00100869
41,832.408,1.28419,2.40322,1.61815,1.45886,0.62743,0.52136,0.55607,0.33531,0.47,0.40772,0.44446,0.24549,1.36931,2.46405,1.78808,1.37347,0.0010025,0.0010025,0.0010025
42,852.649,1.23456,2.25672,1.53066,1.36378,0.67739,0.48158,0.55725,0.32883,0.52995,0.47571,0.44073,0.19213,1.37042,2.52919,1.85571,1.39015,0.000996313,0.000996313,0.000996313
43,873,1.30859,2.36545,1.5429,1.42248,0.78075,0.33098,0.52199,0.32578,0.73775,0.31834,0.4867,0.19574,1.3944,2.48172,1.99894,1.39616,0.000990125,0.000990125,0.000990125
44,893.005,1.26932,2.18556,1.48376,1.38096,0.59332,0.38108,0.51361,0.31035,0.55052,0.36589,0.47659,0.21469,1.44708,2.65069,2.15066,1.46796,0.000983938,0.000983938,0.000983938
45,912.432,1.24524,2.34608,1.46371,1.38309,0.63334,0.57711,0.55205,0.33406,0.60526,0.53663,0.51669,0.20746,1.38778,2.54129,2.00353,1.40759,0.00097775,0.00097775,0.00097775
46,932.345,1.31224,2.26,1.39041,1.39796,0.38904,0.62268,0.44973,0.25917,0.26353,0.49832,0.36358,0.1733,1.50235,2.46298,2.3485,1.47627,0.000971562,0.000971562,0.000971562
47,953.663,1.28613,2.17603,1.44102,1.36351,0.36892,0.61409,0.41595,0.24636,0.30546,0.70541,0.37426,0.18398,1.40786,2.35365,2.22816,1.46394,0.000965375,0.000965375,0.000965375
48,975.288,1.24654,2.2382,1.45184,1.36986,0.25521,0.56733,0.38852,0.23014,0.23812,0.53449,0.36763,0.17488,1.38191,2.43895,1.97292,1.44017,0.000959187,0.000959187,0.000959187
49,995.464,1.24761,2.26532,1.49071,1.34784,0.65294,0.43428,0.60738,0.35579,0.34159,0.66868,0.48832,0.21794,1.42361,2.45767,1.64665,1.44521,0.000953,0.000953,0.000953
50,1017.61,1.24369,2.19263,1.41881,1.35397,0.56504,0.55829,0.51188,0.30549,0.45388,0.53678,0.43114,0.20977,1.44809,2.52757,1.565,1.46376,0.000946812,0.000946812,0.000946812
51,1037.82,1.25766,2.14435,1.3374,1.42626,0.69554,0.50056,0.5908,0.33592,0.46811,0.41019,0.45044,0.24129,1.41619,2.45085,1.80499,1.48538,0.000940625,0.000940625,0.000940625
52,1060.06,1.2184,2.15366,1.38149,1.32812,0.63552,0.53163,0.5804,0.3224,0.49217,0.39736,0.43947,0.23827,1.39751,2.51735,1.90958,1.45384,0.000934438,0.000934438,0.000934438
